study	lineage	cluster	candidate_label	rank_within_cluster	n_cells	marker_pct	marker_decision_score	marker_gate_score	key_marker_bonus	marker_any_fraction	marker_mean_positive_fraction	key_marker_any_fraction	key_marker_two_fraction	key_marker_max_fraction	key_marker_enrichment	ref_fraction	raw_fraction	screfmapping_fraction	total_score
infection_study_01	T_NK_lineage	0	NK Cell	1	1315	0.9442138227368728	1.0	1.0	0.0	1.0	0.9826615969581749	1.0	0.0	0.9826615969581749	1.2134308445113124	0.9992395437262357	0.9049429657794676	0.0	3.503726235741445
infection_study_01	T_NK_lineage	0	CD8 Cytotoxic / T Effector Memory	2	1315	0.91114995266186	1.0	1.0	0.0	1.0	0.7373166757197175	1.0	0.0	0.7373166757197175	1.1676751410426567	0.41977186311787074	0.0	0.0	1.671634980988593
infection_study_01	T_NK_lineage	0	CD4 T Effector Memory	3	1315	0.7552071953972762	1.0	1.0	0.0	1.0	0.6014039192746417	1.0	1.0	1.0	1.161955618588227	0.0007604562737642585	0.0	0.0	1.0012167300380228
infection_study_01	T_NK_lineage	0	ydT Cell	4	1315	0.9285103051489331	0.9756653992395438	0.9756653992395438	0.0	0.9756653992395438	0.5282636248415716	0.9756653992395438	0.0	0.5282636248415716	1.626635958200991	0.0007604562737642585	0.0007604562737642585	0.0	0.9776425855513309
infection_study_01	T_NK_lineage	0	CD4 Naive / T Central Memory	5	1315	0.12324302672784211	0.9695817490494296	0.9695817490494296	0.0	0.9695817490494296	0.12162230671736375	0.9695817490494296	0.0	0.12162230671736375	1.0728209115847591	0.0	0.0	0.0	0.9695817490494296
infection_study_01	T_NK_lineage	0	MAIT Cell	6	1315	0.8418724055057898	0.8418724055057898	0.8418724055057898	0.0	0.7346007604562738	0.18403041825095057	0.7346007604562738	0.0	0.18403041825095057	1.5208639588161383	0.0	0.0	0.0	0.8418724055057898
infection_study_01	T_NK_lineage	0	Treg	7	1315	0.4674095113247396	0.4674095113247396	0.4674095113247396	0.0	0.6653992395437263	0.06519184237815417	0.003041825095057034	0.0	0.0022813688212927757	0.15026204394154624	0.0	0.0	0.0	0.4674095113247396
infection_study_01	T_NK_lineage	0	CD8 Naive / T Central Memory	8	1315	0.2781024688660695	0.3239543726235741	0.3239543726235741	0.0	0.3239543726235741	0.07346007604562738	0.3239543726235741	0.0	0.07346007604562738	0.47539819503748726	0.0	0.0	0.0	0.3239543726235741
infection_study_01	T_NK_lineage	1	CD4 T Effector Memory	1	1297	0.6086592382200859	0.6086592382200859	0.6086592382200859	0.0	0.9969159599074788	0.28717157938437815	0.4202004626060139	0.18581341557440248	0.27833461835003853	0.4949245986577349	0.9452582883577486	0.0	0.0	2.1210724995924837
infection_study_01	T_NK_lineage	1	CD4 Naive / T Central Memory	2	1297	0.8974218920690409	1.0	1.0	0.0	1.0	0.5918786944230274	1.0	0.0	0.5918786944230274	1.1061344515167473	0.4818812644564379	0.0	0.0	1.7710100231303008
infection_study_01	T_NK_lineage	1	CD8 Naive / T Central Memory	3	1297	0.7559900954045591	0.8735543562066307	0.8735543562066307	0.0	0.8735543562066307	0.35774865073245954	0.8735543562066307	0.0	0.35774865073245954	1.257777051572255	0.08866615265998458	0.0	0.0	1.015420200462606
infection_study_01	T_NK_lineage	1	Treg	4	1297	0.4674095113247396	0.4674095113247396	0.4674095113247396	0.0	0.36314572089437164	0.05158757972944558	0.11488049344641481	0.0038550501156515036	0.06013878180416345	1.4388168877375285	0.16037008481110254	0.06322282189668466	0.0	0.7872244689191883
infection_study_01	T_NK_lineage	1	MAIT Cell	5	1297	0.37886898259413004	0.37886898259413004	0.37886898259413004	0.0	0.3562066306861989	0.1010023130300694	0.3562066306861989	0.0	0.1010023130300694	0.7479853576147919	0.09252120277563608	0.010023130300693909	0.0	0.5369260373358417
infection_study_01	T_NK_lineage	1	CD8 Cytotoxic / T Effector Memory	6	1297	0.19699038671618965	0.4456437933693138	0.4456437933693138	0.0	0.4456437933693138	0.11499063773543342	0.4456437933693138	0.0	0.11499063773543342	0.5267761689977472	0.051657671549730146	0.0	0.0	0.5282960678488821
infection_study_01	T_NK_lineage	1	ydT Cell	7	1297	0.3500837520938023	0.3500837520938023	0.3500837520938023	0.0	0.14649190439475712	0.053713698278077614	0.14649190439475712	0.0	0.053713698278077614	0.2582573752231306	0.05551272166538165	0.0	0.0	0.43890410675841296
infection_study_01	T_NK_lineage	1	NK Cell	8	1297	0.183362464496395	0.3107170393215112	0.3107170393215112	0.0	0.3107170393215112	0.07802621434078644	0.3107170393215112	0.0	0.07802621434078644	0.3853147998743258	0.0015420200462606013	0.0015420200462606013	0.0	0.31472629144178876
infection_study_01	T_NK_lineage	10	CD4 T Effector Memory	1	810	0.7440281115723546	0.7440281115723546	0.7440281115723546	0.0	1.0	0.3546058879392213	0.6024691358024692	0.30246913580246915	0.4703703703703704	0.7046157956015394	0.9839506172839506	0.0	0.0	2.3183490992266758
infection_study_01	T_NK_lineage	10	CD4 Naive / T Central Memory	2	810	0.9102213968392687	1.0	1.0	0.0	1.0	0.5976954732510288	1.0	0.0	0.5976954732510288	1.1061344515167473	0.3888888888888889	0.0	0.0	1.6222222222222222
infection_study_01	T_NK_lineage	10	CD8 Naive / T Central Memory	3	810	0.7590306605491224	0.8530864197530864	0.8530864197530864	0.0	0.8530864197530864	0.3525925925925926	0.8530864197530864	0.0	0.3525925925925926	1.2286400770517123	0.10246913580246914	0.0	0.0	1.017037037037037
infection_study_01	T_NK_lineage	10	MAIT Cell	4	810	0.37886898259413004	0.47160493827160493	0.47160493827160493	0.0	0.47160493827160493	0.13703703703703704	0.47160493827160493	0.0	0.13703703703703704	0.9836890208872785	0.15555555555555556	0.006172839506172839	0.0	0.7266666666666667
infection_study_01	T_NK_lineage	10	Treg	5	810	0.4674095113247396	0.4674095113247396	0.4674095113247396	0.0	0.3333333333333333	0.04736251402918069	0.11358024691358025	0.007407407407407408	0.05925925925925926	1.4238360318966017	0.09012345679012346	0.019753086419753086	0.0	0.6313601286086903
infection_study_01	T_NK_lineage	10	CD8 Cytotoxic / T Effector Memory	6	810	0.19699038671618965	0.4469135802469136	0.4469135802469136	0.0	0.4469135802469136	0.11093474426807759	0.4469135802469136	0.0	0.11093474426807759	0.5282441873852673	0.10740740740740741	0.0	0.0	0.6187654320987654
infection_study_01	T_NK_lineage	10	ydT Cell	7	810	0.3500837520938023	0.3500837520938023	0.3500837520938023	0.0	0.1469135802469136	0.05267489711934156	0.1469135802469136	0.0	0.05267489711934156	0.2589532636091406	0.04691358024691358	0.0	0.0	0.4251454804888641
infection_study_01	T_NK_lineage	10	NK Cell	8	810	0.183362464496395	0.34074074074074073	0.34074074074074073	0.0	0.34074074074074073	0.08098765432098766	0.34074074074074073	0.0	0.08098765432098766	0.42138577548669337	0.0012345679012345679	0.0012345679012345679	0.0	0.3439506172839506
infection_study_01	T_NK_lineage	11	CD8 Cytotoxic / T Effector Memory	1	767	0.6972543878814361	0.7757496740547588	0.7757496740547588	0.0	0.7757496740547588	0.4958092754702924	0.7757496740547588	0.0	0.4958092754702924	0.908416199481299	0.5254237288135594	0.0	0.0	1.616427640156454
